file,electric,lightning,nuclear,temporal
campione_1_lightning_neutron\arxiv_1802.06605.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1805.04721.json,0,1,0,0
campione_1_lightning_neutron\arxiv_1805.10504.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1808.08865.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1809.04181.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1810.02778.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1810.03853.json,0,1,1,0
campione_1_lightning_neutron\arxiv_1810.03959.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1812.07831.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1812.08535.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1903.01492.json,1,0,0,0
campione_1_lightning_neutron\arxiv_1903.03131.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1906.05048.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1906.10452.json,0,0,1,0
campione_1_lightning_neutron\arxiv_1908.02730.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1911.08309.json,0,0,0,0
campione_1_lightning_neutron\arxiv_1912.07881.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2004.09758.json,0,0,0,1
campione_1_lightning_neutron\arxiv_2007.06079.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2009.07307.json,0,0,2,0
campione_1_lightning_neutron\arxiv_2009.08108.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2012.01376.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2012.07193.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2105.13519.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2108.02020.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2108.13900.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2201.10134.json,0,0,2,0
campione_1_lightning_neutron\arxiv_2203.00535.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2206.12299.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2210.07687.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2211.00025.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2211.04626.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2211.09688.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2306.04036.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2308.12812.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2308.15240.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2310.15490.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2403.15513.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2406.16159.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2407.06311.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2412.01906.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2505.16269.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2506.07941.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2507.16250.json,1,0,0,0
campione_1_lightning_neutron\arxiv_2508.21533.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2511.14561.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2512.07859.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2601.17234.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2601.19289.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2604.14385.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2605.28716.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2605.28718.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2605.28727.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2605.28783.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2605.28821.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2605.28944.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2605.28972.json,0,0,2,0
campione_1_lightning_neutron\arxiv_2605.29187.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2605.29349.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2605.29404.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2605.29542.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2605.29778.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2605.30025.json,0,0,0,1
campione_1_lightning_neutron\arxiv_2605.30430.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2605.30548.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2605.30554.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2605.30669.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2605.30796.json,0,1,0,0
campione_1_lightning_neutron\arxiv_2605.30828.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2605.31198.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2605.31259.json,1,0,1,0
campione_1_lightning_neutron\arxiv_2605.31290.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2605.31382.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2605.31395.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.00745.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.00810.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.00907.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.00943.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.01253.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.01625.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.02032.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.02190.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.02266.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.02527.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.02690.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.02828.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.02923.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.02932.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.02966.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.03174.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.03316.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.03440.json,1,0,1,0
campione_1_lightning_neutron\arxiv_2606.03525.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.03586.json,0,0,1,0
